Week Start,Average Load Factor,Average Load Factor at Evening Peak,Average Load Factor at Night Minimum
2021-04-05,19.175310551952833,28.821498138577756,16.599769598182434
2021-04-12,23.628264884602519,25.432541622912847,21.602844294405887
2021-04-19,25.70392292875982,27.383862940692143,24.352762130735854
2021-04-26,33.489238078092463,37.70931235021677,31.489295830984076
2021-05-03,30.753998630155483,31.936117420245196,27.870533287987758
2021-05-10,33.181650070333035,34.123766073711344,31.391653425686663
2021-05-17,39.494867320459448,31.19339412701936,39.868845951540742
2021-05-24,35.589942842343596,35.231563142798095,32.246180528596689
2021-05-31,36.264509945224468,35.119485947429027,36.329343360391228
2021-06-07,35.181671394416455,23.775456308046618,38.062887455861883
2021-06-14,29.943803522082472,31.225068592468329,28.129117871878339
2021-06-21,46.42643423597999,48.48783816442289,30.949796546373321
2021-06-28,55.416932534245234,54.608183636445148,48.380364783987041
2021-07-05,31.263618024427576,25.858124858522913,30.61001094636282
2021-07-12,32.088052881539816,25.750607736377468,25.819413445545397
2021-07-19,48.795245854634693,47.298219301728665,43.06460837171484
2021-07-26,39.464284849346662,34.322877257880201,37.234137622877569
2021-08-02,29.852209806886798,32.794078419527963,25.661631683340964
2021-08-09,42.268166488316254,40.834275251982696,44.727912656376667
2021-08-16,28.712408555739501,34.288624938556168,26.913980693210405
2021-08-23,35.350976438021931,32.643485922716494,31.779518803902739
2021-08-30,34.28851947644759,42.156591828528747,24.79680050548567
2021-09-06,41.702061391001912,46.128931669169482,35.24318291852326
2021-09-13,44.732187519660052,57.484752344846243,39.350479636969375
2021-09-20,36.369508348172396,43.901430294675166,32.753542912943217
2021-09-27,45.47405223146756,59.802175393679782,40.669881342162917
2021-10-04,38.202152682041849,52.37954711438254,35.173694025257866
2021-10-11,41.869237039407636,48.478219393909548,37.303411412816025
2021-10-18,41.861006528164133,45.083033816662976,40.038829464234418
2021-10-25,38.399281493357286,42.509411183049814,33.387692531777482
2021-11-01,29.581625686563324,44.542775493792206,21.757244815899821
2021-11-08,27.95650093068992,45.999380451818837,25.826153139180885
2021-11-15,41.024429926775682,64.476451014663994,36.317673329886837
2021-11-22,52.32765824464083,57.703266167745745,48.068343139427064
2021-11-29,32.775947765559771,45.983826961538583,26.203412858106802
2021-12-06,30.238814078913062,43.676327985059842,22.369084172347712
2021-12-13,45.972359755541945,64.387491387357883,38.680614134562113
2021-12-20,33.981157397594899,45.274684179715877,30.354551988029304
2021-12-27,33.138541633689428,42.033393200302989,27.383312566535263
2022-01-03,37.621486753113878,52.274401460243745,35.519030561450109
2022-01-10,32.987311580880181,45.984466718548219,30.078063315344895
2022-01-17,31.008225683827739,49.855714460542835,25.272734918792128
2022-01-24,31.465613623838557,53.062264010973571,27.658393495621493
2022-01-31,29.405446846840888,39.078502276787638,26.569310783283935
2022-02-07,20.451179360401522,34.722658112352391,15.941595920162882
2022-02-14,34.295692310866599,47.33765868645159,25.985161307698739
2022-02-21,29.516462993376102,50.22214097546167,27.04747199512768
2022-02-28,27.851614545488484,41.366228330636552,23.453175388453275
2022-03-07,30.688609736120771,33.518065498864459,32.509001476273724
2022-03-14,27.746777585146155,37.92017464196185,29.879373669761765
2022-03-21,24.651372398664048,37.222126132212537,23.395975991246225
2022-03-28,34.31800560944874,39.010828867405877,31.522512835542926
2022-04-04,45.557375934374988,54.204900831346691,34.897796608409024
2022-04-11,29.112764687207449,36.134344069773697,31.783563550445077
2022-04-18,28.636847615946643,30.601036236671654,27.941458453665373
2022-04-25,31.246506889804227,27.785729414245843,34.390539203444426
2022-05-02,22.221254736321736,22.411528573280126,22.628178177070655
2022-05-09,20.926932278520933,23.933707226335024,18.407737860030828
2022-05-16,38.701055813443077,31.378737594039634,43.74621730261444
2022-05-23,29.584671004114504,33.066431414237719,21.337908622766225
2022-05-30,26.804290203169405,23.56286401617805,24.096061207780672
2022-06-06,39.144924483036995,29.215551769157578,33.931575683978977
2022-06-13,48.06005296942967,45.325685672467749,49.588323302590048
2022-06-20,34.627693800628833,32.391409884305119,35.740844190124548
2022-06-27,40.573791632991167,31.763236982750708,41.839891325488779
2022-07-04,32.94326971911687,30.490165507678984,31.596626444121423
2022-07-11,34.130499569172876,30.008645374854193,35.97227598250857
2022-07-18,34.835188395948983,33.98161995342798,28.078609801328042
2022-07-25,37.266165144893812,37.849957610572496,33.218753929269617
2022-08-01,28.974996116550233,30.211727202144246,24.417621552668912
2022-08-08,31.739965483981571,32.821401286995304,18.743538361498203
2022-08-15,44.307651972910037,43.773704777867358,38.429744555458775
2022-08-22,36.616885716747873,40.451518985608345,33.605753010935764
2022-08-29,48.966014904147585,54.233763894831057,41.027392741054335
2022-09-05,29.955832761708884,36.138063797022077,23.846275145769415
2022-09-12,32.1009112170766,38.48336728498932,26.082353756475126
2022-09-19,33.007909926650846,39.554830091638344,32.961280173159665
2022-09-26,28.315038239012175,37.38163639374072,22.996681465964588
2022-10-03,28.951371566674222,41.660358395036269,23.321156660783736
2022-10-10,37.027563813413465,46.980694240473987,27.784408575155016
2022-10-17,30.387764359876751,43.277215236623462,28.025963991187648
2022-10-24,40.47925608456692,61.179413718737528,31.167474963679542
2022-10-31,38.213865554762016,58.061718010506269,38.828180275616354
2022-11-07,38.620844864378022,48.395185656563058,35.004214044407853
2022-11-14,32.464996043238443,44.966032436730195,25.331598195534145
2022-11-21,39.66286832082951,52.901067682408367,33.37310290194327
2022-11-28,42.713062548646846,53.831626621141424,40.878762087626399
2022-12-05,35.101235621726119,49.597750683770727,32.351818554161568
2022-12-12,29.716974838980331,42.038667955294194,23.769015590096931
2022-12-19,39.497879802423341,56.288167602360183,29.744833490262046
2022-12-26,37.862022759297886,59.594841727463574,33.055225767792251
2023-01-02,42.495113873259399,54.344329132844692,40.675301135073923
2023-01-09,28.658582797431087,46.515452118620679,19.456232656748547
2023-01-16,33.299427497203418,46.83558255273573,30.837542882207181
2023-01-23,40.60469341357237,53.759786604608927,35.505048346355863
2023-01-30,38.265693355891216,57.278071739593216,39.887434595167477
2023-02-06,32.040698726325296,44.983988291139639,29.95729934322323
2023-02-13,33.118907254643759,51.924986274788886,27.520772479364457
2023-02-20,34.470590700718176,49.132819791194194,30.671408694252094
2023-02-27,31.635607368083381,49.518553207134694,30.372292460906493
2023-03-06,36.18814733095995,48.020872280219216,31.766226145832078
2023-03-13,35.72244925821613,44.525609812270659,31.427521548477692
2023-03-20,45.495941259001249,52.45142022218451,43.2416147570814
2023-03-27,36.360078855816035,44.582988041741231,36.899326458347765
2023-04-03,31.31727030622331,35.734445071974882,28.625229739077817
2023-04-10,31.183931903310874,32.818048310253253,29.972470733036239
2023-04-17,34.136279623321272,34.295017966228713,29.855182942643761
2023-04-24,26.754734350596586,36.552322413612089,20.576720299078886
2023-05-01,19.188830686708716,28.554800628600134,13.280128342654301
2023-05-08,40.429065349433699,40.738684014724875,39.246518070594263
2023-05-15,26.654712177239663,25.877847073552608,28.933483663990227
2023-05-22,34.645462131903933,30.943423082174071,37.328615374145308
2023-05-29,40.555806729108923,41.32933493623328,38.139508730811158
2023-06-05,40.039036104947598,32.566732744100229,36.888848406028877
2023-06-12,60.668660539737928,62.452507449791447,57.463294656525285
2023-06-19,44.686521227150742,43.734950508320402,43.120666910393766
2023-06-26,40.723759014755984,33.69236604380697,43.750686260555341
2023-07-03,48.664793723459901,49.835359712573535,45.461662985170129
2023-07-10,32.790924332969944,26.468759427653509,37.728383155607574
2023-07-17,45.253954444609953,50.587513730398257,46.049832371911506
2023-07-24,39.334995885548942,39.124993412313636,37.581445589445423
2023-07-31,44.587538386673167,29.447547285064026,48.262743075252331
2023-08-07,37.226702137121521,34.636494579008456,34.090917956227877
