Date,Eskom OCGT Generation,Eskom Gas Generation,Dispatchable IPP OCGT,Manual Load Reduction(MLR),Palmiet Gen Unit Hours,Ingula Gen Unit Hours,Drakensberg Gen Unit Hours,Palmiet Max Hours,Ingula Max Hours,Drakensberg Max Hours,Palmiet Min Hours,Ingula Min Hours,Drakensberg Min Hours
2026-01-26 00:00:00,0,0,0.14799999999999999,0,46.799999999999997,35.590000000000003,85,58.7,67,102,8,12,12
2026-01-26 01:00:00,0,0,0.17199999999999999,0,47.200000000000003,36.799999999999997,86.200000000000003,58.7,67,102,8,12,12
2026-01-26 02:00:00,0,0,0.157,0,48,38.43,87.400000000000006,58.7,67,102,8,12,12
2026-01-26 03:00:00,0,0,0.01,0,49.600000000000001,39.979999999999997,88.599999999999994,58.7,67,102,8,12,12
2026-01-26 04:00:00,0,0,6.7000000000000004E-2,0,50.799999999999997,41.210000000000001,90,58.7,67,102,8,12,12
2026-01-26 05:00:00,24.016999999999999,0,142.761,0,50,40.329999999999998,89.700000000000003,58.7,67,102,8,12,12
2026-01-26 06:00:00,258.97899999999998,0,149.16,0,48,36.920000000000002,87.400000000000006,58.7,67,102,8,12,12
2026-01-26 07:00:00,2.1659999999999999,0,149.78899999999999,0,46.799999999999997,34.299999999999997,86.200000000000003,58.7,67,102,8,12,12
2026-01-26 08:00:00,0,0,150.65700000000001,0,46,34.299999999999997,85.400000000000006,58.7,67,102,8,12,12
2026-01-26 09:00:00,0,0,149.16200000000001,0,45.600000000000001,34.359999999999999,85,58.7,67,102,8,12,12
2026-01-26 10:00:00,0,0,150.92500000000001,0,45.600000000000001,34.299999999999997,84.599999999999994,58.7,67,102,8,12,12
2026-01-26 11:00:00,0,0,150.89699999999999,0,45.600000000000001,34.909999999999997,85,58.7,67,102,8,12,12
2026-01-26 12:00:00,0,0,151.244,0,46,36.560000000000002,86.200000000000003,58.7,67,102,8,12,12
2026-01-26 13:00:00,0,0,151.214,0,47.200000000000003,37.710000000000001,87.400000000000006,58.7,67,102,8,12,12
2026-01-26 14:00:00,0,0,150.47999999999999,0,47.600000000000001,38.609999999999999,88.599999999999994,58.7,67,102,8,12,12
2026-01-26 15:00:00,0,0,149.77500000000001,0,48,38.789999999999999,89.700000000000003,58.7,67,102,8,12,12
2026-01-26 16:00:00,0,0,149.40100000000001,0,48,38.789999999999999,89.400000000000006,58.7,67,102,8,12,12
2026-01-26 17:00:00,0,0,148.785,0,47.600000000000001,38.789999999999999,88.599999999999994,58.7,67,102,8,12,12
2026-01-26 18:00:00,0,0,148.79499999999999,0,46.799999999999997,37.829999999999998,87.400000000000006,58.7,67,102,8,12,12
2026-01-26 19:00:00,0,0,148.85300000000001,0,46,36.079999999999998,86.200000000000003,58.7,67,102,8,12,12
2026-01-26 20:00:00,0,0,149.05099999999999,0,43.700000000000003,33.25,83.799999999999997,58.7,67,102,8,12,12
2026-01-26 21:00:00,0,0,80.769999999999996,0,42.5,31,82.200000000000003,58.7,67,102,8,12,12
2026-01-26 22:00:00,0,0,5.2999999999999999E-2,0,40.899999999999999,29.43,81.400000000000006,58.7,67,102,8,12,12
2026-01-26 23:00:00,0,0,2.9000000000000001E-2,0,40.899999999999999,29.109999999999999,81.400000000000006,58.7,67,102,8,12,12
2026-01-27 00:00:00,0,0,4.3999999999999997E-2,0,41.700000000000003,30.309999999999999,82.200000000000003,58.7,67,102,8,12,12
2026-01-27 01:00:00,0,0,1.4999999999999999E-2,0,42,32.259999999999998,82.599999999999994,58.7,67,102,8,12,12
2026-01-27 02:00:00,0,0,2.5000000000000001E-2,0,43.700000000000003,34.789999999999999,84.200000000000003,58.7,67,102,8,12,12
2026-01-27 03:00:00,0,0,0.039,0,45.600000000000001,37.109999999999999,86.200000000000003,58.7,67,102,8,12,12
2026-01-27 04:00:00,0,0,0.062,0,46.799999999999997,39.030000000000001,87.799999999999997,58.7,67,102,8,12,12
2026-01-27 05:00:00,0,0,142.738,0,47.600000000000001,40.149999999999999,88.200000000000003,58.7,67,102,8,12,12
2026-01-27 06:00:00,0,0,149.20400000000001,0,46.799999999999997,38.07,87.400000000000006,58.7,67,102,8,12,12
2026-01-27 07:00:00,0,0,149.001,0,44,35.890000000000001,85.400000000000006,58.7,67,102,8,12,12
2026-01-27 08:00:00,0,0,149.928,0,44,35.890000000000001,85.400000000000006,58.7,67,102,8,12,12
2026-01-27 09:00:00,0,0,151.15700000000001,0,44,35.890000000000001,85.799999999999997,58.7,67,102,8,12,12
2026-01-27 10:00:00,0,0,150.345,0,44,35.890000000000001,85.799999999999997,58.7,67,102,8,12,12
2026-01-27 11:00:00,0,0,151.161,0,45.600000000000001,35.890000000000001,85.799999999999997,58.7,67,102,8,12,12
2026-01-27 12:00:00,0,0,151.06100000000001,0,45.600000000000001,36.740000000000002,86.200000000000003,58.7,67,102,8,12,12
2026-01-27 13:00:00,0,0,151.30099999999999,0,45.600000000000001,37.590000000000003,86.200000000000003,58.7,67,102,8,12,12
2026-01-27 14:00:00,0,0,151.24000000000001,0,45.600000000000001,38.310000000000002,86.200000000000003,58.7,67,102,8,12,12
2026-01-27 15:00:00,0,0,151.25899999999999,0,46.799999999999997,38.670000000000002,87,58.7,67,102,8,12,12
2026-01-27 16:00:00,0,0,151.23400000000001,0,46,38.43,87,58.7,67,102,8,12,12
2026-01-27 17:00:00,0,0,151.08000000000001,0,45.600000000000001,37.649999999999999,86.200000000000003,58.7,67,102,8,12,12
2026-01-27 18:00:00,0,0,149.62100000000001,0,44.799999999999997,36.740000000000002,86.200000000000003,58.7,67,102,8,12,12
2026-01-27 19:00:00,0,0,148.77600000000001,0,44,35.950000000000003,85.400000000000006,58.7,67,102,8,12,12
2026-01-27 20:00:00,0,0,149.00800000000001,0,43.299999999999997,34.670000000000002,84.200000000000003,58.7,67,102,8,12,12
2026-01-27 21:00:00,0,0,80.780000000000001,0,42.5,33.369999999999997,82.599999999999994,58.7,67,102,8,12,12
