DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2026-02-05 00:00:00,,,19638.718000000001,20965.215
2026-02-05 01:00:00,,,19432.163,20787.182000000001
2026-02-05 02:00:00,,,19552.617999999999,20632.452000000001
2026-02-05 03:00:00,,,19797.234,20821.255000000001
2026-02-05 04:00:00,,,21135.557000000001,22176.793000000001
2026-02-05 05:00:00,,,23066.347000000002,24309.928
2026-02-05 06:00:00,,,22963.799999999999,24246.521000000001
2026-02-05 07:00:00,,,21314.867999999999,22910.495999999999
2026-02-05 08:00:00,,,20666.848999999998,22834.343000000001
2026-02-05 09:00:00,,,20354.786,23067.085999999999
2026-02-05 10:00:00,,,19894.278999999999,23023.682000000001
2026-02-05 11:00:00,,,19528.862000000001,23173.473999999998
2026-02-05 12:00:00,,,19532.049999999999,23303.097000000002
2026-02-05 13:00:00,,,19834.842000000001,23600.329000000002
2026-02-05 14:00:00,,,20071.201000000001,24005.098000000002
2026-02-05 15:00:00,,,20646.330000000002,24284.998
2026-02-05 16:00:00,,,21823.073,25104.883999999998
2026-02-05 17:00:00,,,22333.303,25457.077000000001
2026-02-05 18:00:00,,,23669.863000000001,26009.544000000002
2026-02-05 19:00:00,,,25053.611000000001,26890.552
2026-02-05 20:00:00,,,24642.473000000002,25999.837
2026-02-05 21:00:00,,,23228.010999999999,24640.688999999998
2026-02-05 22:00:00,,,21532.66,22831.895
2026-02-05 23:00:00,,,20564.222000000002,21688.712
2026-02-06 00:00:00,,,19842.633999999998,20922.454000000002
2026-02-06 01:00:00,,,19630.222000000002,20598.692999999999
2026-02-06 02:00:00,,,19675.937000000002,20523.716
2026-02-06 03:00:00,,,19822.756000000001,20664.868999999999
2026-02-06 04:00:00,,,21238.048999999999,22004.394
2026-02-06 05:00:00,,,23653.064999999999,24309.007000000001
2026-02-06 06:00:00,,,23766.983,24546.294000000002
2026-02-06 07:00:00,,,22014.219000000001,23274.402999999998
2026-02-06 08:00:00,,,21849.691999999999,23479.091
2026-02-06 09:00:00,,,21875.042000000001,23853.470000000001
2026-02-06 10:00:00,,,21438.165000000001,23701.876
2026-02-06 11:00:00,,,21326.32,23705.002
2026-02-06 12:00:00,,,21017.723000000002,23611.156999999999
2026-02-06 13:00:00,,,20903.326000000001,23477.738000000001
2026-02-06 14:00:00,,,20932.025000000001,23618.162
2026-02-06 15:00:00,,,21080.171999999999,23744.106
2026-02-06 16:00:00,,,21307.865000000002,24014.528999999999
2026-02-06 17:00:00,,,21918.822,24573.356
2026-02-06 18:00:00,,,22976.137999999999,25127.384999999998
2026-02-06 19:00:00,,,24079.937000000002,25928.606
2026-02-06 20:00:00,,,23942.756000000001,25409.644
2026-02-06 21:00:00,,,23365.157999999999,24385.264999999999
2026-02-06 22:00:00,,,22318.631000000001,23082.058000000001
2026-02-06 23:00:00,,,21394.468000000001,22061.861000000001
2026-02-07 00:00:00,,,20711.440999999999,21328.929
2026-02-07 01:00:00,,,20475.736000000001,20973.460999999999
2026-02-07 02:00:00,,,20230.841,20653.145
2026-02-07 03:00:00,,,19829.328000000001,20431.368999999999
2026-02-07 04:00:00,,,20090.126,20728.429
2026-02-07 05:00:00,,,20439.794999999998,21073.052
2026-02-07 06:00:00,,,20937.605,21698.955000000002
2026-02-07 07:00:00,,,20607.654999999999,22153.218000000001
2026-02-07 08:00:00,,,20522.062000000002,22535.393
2026-02-07 09:00:00,,,20172.108,22655.075000000001
2026-02-07 10:00:00,,,19543.460999999999,22432.280999999999
2026-02-07 11:00:00,,,19266.636999999999,22612.734
2026-02-07 12:00:00,,,18732.184000000001,22359.544999999998
2026-02-07 13:00:00,,,18272.258000000002,22025.241000000002
2026-02-07 14:00:00,,,18128.287,21921.236000000001
2026-02-07 15:00:00,,,18386.089,22049.808000000001
2026-02-07 16:00:00,,,19329.947,22505.909
2026-02-07 17:00:00,,,20230.659,23142.742999999999
2026-02-07 18:00:00,,,21705.573,24308.635999999999
2026-02-07 19:00:00,,,23128.397000000001,25224.457999999999
2026-02-07 20:00:00,,,22498.306,24366.151999999998
2026-02-07 21:00:00,,,21552.535,23063.699000000001
2026-02-07 22:00:00,,,20664.136999999999,21695.621999999999
2026-02-07 23:00:00,,,19668.151999999998,20735.398000000001
2026-02-08 00:00:00,,,18983.101999999999,19977.151999999998
2026-02-08 01:00:00,,,18565.285,19564.689999999999
2026-02-08 02:00:00,,,18351.135999999999,19379.623
2026-02-08 03:00:00,,,18472.433000000001,19313.751
2026-02-08 04:00:00,,,18703.601999999999,19654.883000000002
2026-02-08 05:00:00,,,18833.603999999999,19966.523000000001
2026-02-08 06:00:00,,,19536.222000000002,20813.460999999999
2026-02-08 07:00:00,,,19806.356,21644.886999999999
2026-02-08 08:00:00,,,19635.157999999999,22123.406999999999
2026-02-08 09:00:00,,,19488.246999999999,22423.946
2026-02-08 10:00:00,,,18559.031999999999,21977.601999999999
2026-02-08 11:00:00,,,18293.177,21838.360000000001
2026-02-08 12:00:00,,,18466.800999999999,22023.208999999999
2026-02-08 13:00:00,,,18337.526999999998,21917.150000000001
2026-02-08 14:00:00,,,18213.243999999999,21730.48
2026-02-08 15:00:00,,,18422.023000000001,21878.846000000001
2026-02-08 16:00:00,,,19481.812999999998,22721.183000000001
2026-02-08 17:00:00,,,20717.044999999998,23586.514999999999
2026-02-08 18:00:00,,,22028.105,24428.791000000001
2026-02-08 19:00:00,,,22938.616999999998,25402.488000000001
2026-02-08 20:00:00,,,22015.414000000001,24593.939999999999
2026-02-08 21:00:00,,,20482.618999999999,22905.145
2026-02-08 22:00:00,,,19106.101999999999,21296.466
2026-02-08 23:00:00,,,18250.531999999999,20290.120999999999
2026-02-09 00:00:00,,,17786.481,19705.499
2026-02-09 01:00:00,,,17683.201000000001,19550.760999999999
2026-02-09 02:00:00,,,17830.634999999998,19396.151999999998
2026-02-09 03:00:00,,,18139.471000000001,19780.280999999999
2026-02-09 04:00:00,,,19343.715,21160.093000000001
2026-02-09 05:00:00,,,21411.022000000001,23309.304
2026-02-09 06:00:00,,,22241.241000000002,23908.774000000001
2026-02-09 07:00:00,,,20811.064999999999,22837.253000000001
2026-02-09 08:00:00,,,20612.830000000002,23250.686000000002
2026-02-09 09:00:00,,,20712.474999999999,23647.559000000001
2026-02-09 10:00:00,,,19974.837,23338.687000000002
