Week Start Date,Weekly EAF,Weekly PCLF,Weekly UCLF,Weekly OCLF,Year,Fin_Year
2025-03-31,55.301689524603795,14.659866271266871,29.442739785590039,0.59570441853929135,2026,2025-26
2025-04-07,56.682711339817764,16.163879469758999,26.730954913934607,0.42245427648862977,2026,2025-26
2025-04-14,56.540140080281517,16.563653321541619,26.343701491481031,0.55250510669583042,2026,2025-26
2025-04-21,55.442412165340876,12.928324634639587,31.133078074913129,0.49618512510641066,2026,2025-26
2025-04-28,57.106415025701509,14.360333689223678,28.086340797866498,0.4469104872083125,2026,2025-26
2025-05-05,59.374953158921613,13.295049559897507,26.964226068282066,0.36577121289881104,2026,2025-26
2025-05-12,57.922797781973138,9.8507653806753908,31.690268918704245,0.53616791864722968,2026,2025-26
2025-05-19,59.499020932361496,10.171988653257875,29.850007191632972,0.47898322274765698,2026,2025-26
2025-05-26,59.662816601029881,9.91557220352691,29.829264004210494,0.59234719123271184,2026,2025-26
2025-06-02,59.531255076898084,9.5239415356952293,29.989111507735938,0.95569187967074698,2026,2025-26
2025-06-09,60.240756435250411,8.3223698283331515,30.950631478372632,0.48624225804381227,2026,2025-26
2025-06-16,61.356760347345045,7.7806659060094567,30.548992066500603,0.31358168014489107,2026,2025-26
2025-06-23,60.375527546120814,6.5884053300159211,32.737855470614647,0.29821165324861304,2026,2025-26
2025-06-30,61.761433233618504,9.2757936906043081,28.574437659984547,0.3883354157926413,2026,2025-26
2025-07-07,61.379793285175232,9.1641835153981148,29.171115972769972,0.28490722665667867,2026,2025-26
2025-07-14,63.587285412790123,10.469649912342931,25.524806248470956,0.41825842639599037,2026,2025-26
2025-07-21,64.800917277525187,10.458188092649497,24.177837878100345,0.56305675172497116,2026,2025-26
2025-07-28,68.654125809278355,9.8454791725052697,21.096803629669346,0.40359138854703552,2026,2025-26
2025-08-04,62.269858643649421,12.269166412725514,25.037075588127749,0.42389935549731828,2026,2025-26
2025-08-11,64.962085187103838,11.210565336522846,23.402131823399163,0.42521765297415909,2026,2025-26
2025-08-18,68.747268951629309,11.773923010117015,19.003617303043217,0.47519073521046629,2026,2025-26
2025-08-25,67.929480220522493,14.044683056029584,17.557304173269142,0.46853255017877554,2026,2025-26
2025-09-01,71.325151937306202,9.9658832883035018,17.83953071750943,0.86943405688086439,2026,2025-26
2025-09-08,72.249539403661743,10.731177504528571,16.256899632085798,0.76238345972388466,2026,2025-26
2025-09-15,71.168020567887567,10.367415121324704,17.929577602263784,0.53498670852394292,2026,2025-26
2025-09-22,66.997958894926967,11.930725952534461,20.704211606950981,0.36710354558758901,2026,2025-26
2025-09-29,65.49747702266356,13.769291093498509,20.431071457491925,0.3021604263459966,2026,2025-26
2025-10-06,62.342700932224744,12.928312811791386,24.400008352229776,0.32897790375409419,2026,2025-26
2025-10-13,62.067539632149149,12.62051126228271,24.949294142101277,0.36265496346686821,2026,2025-26
2025-10-20,70.502015747039536,9.2457356009070519,19.970858717561086,0.28138993449231553,2026,2025-26
2025-10-27,69.644559171075841,12.247189997480453,17.869391836734707,0.23885899470899472,2026,2025-26
2025-11-03,71.353080234315954,10.897933270345174,17.450859763164527,0.29812673217435121,2026,2025-26
2025-11-10,69.585510896951362,11.355352557319231,18.579273771730918,0.47986277399848837,2026,2025-26
2025-11-17,66.517456273620553,15.118320521541948,18.060390740740758,0.30383246409675041,2026,2025-26
2025-11-24,64.901664361300078,12.212586495338876,22.679572574955898,0.20617656840513995,2026,2025-26
2025-12-01,65.33123077601411,11.69042894935752,22.576115217939041,0.40222505668934244,2026,2025-26
2025-12-08,67.335946220710511,10.367032010582012,22.102336495338875,0.19468527336860669,2026,2025-26
2025-12-15,65.812237755102046,12.211668266565885,21.796066263542457,0.18002771478961957,2026,2025-26
2025-12-22,73.941910544217677,9.8655463466868252,15.924005278407666,0.26853783068783066,2026,2025-26
2025-12-29,76.81296824137064,8.7475583774250438,14.168208578987141,0.27126480221718319,2026,2025-26
2026-01-05,71.165575056689335,11.699548803224994,16.887453665910808,0.2474224741748553,2026,2025-26
2026-01-12,67.8214818090199,14.087527714789616,17.824284152179395,0.26670632401108635,2026,2025-26
2026-01-19,71.115564865205357,11.283450907029478,17.016540362811782,0.58444386495338752,2026,2025-26
2026-01-26,70.613549685059212,10.346914613252709,18.631363290501387,0.40817241118669811,2026,2025-26
2026-02-02,68.877331821617531,10.048996737213407,20.710648362307889,0.36302307886117446,2026,2025-26
2026-02-09,66.800821340388012,10.600066137566138,22.280094268077605,0.31901825396825395,2026,2025-26
