YEAR_MONTH,PCLF,UCLF,OCLF
202404,11.4,30,0.5
202405,9.6999999999999993,26.800000000000001,0.5
202406,11.800000000000001,24.699999999999999,0.80000000000000004
202407,8.4000000000000004,23.699999999999999,0.5
202408,10.5,22.899999999999999,0.40000000000000002
202409,13.5,25,0.40000000000000002
202410,12.9,24.399999999999999,0.40000000000000002
202411,15.1,22.199999999999999,0.69999999999999996
202412,17.600000000000001,25.5,0.40000000000000002
202501,14,28.800000000000001,0.69999999999999996
202502,15,26.800000000000001,1.2
202503,12.300000000000001,30,0.59999999999999998
202504,14.800000000000001,28.699999999999999,0.5
202505,11.5,29,0.5
202506,8.0999999999999996,31.100000000000001,0.5
202507,9.9000000000000004,25.899999999999999,0.40000000000000002
202508,12.1,21.300000000000001,0.40000000000000002
202509,10.9,18.300000000000001,0.59999999999999998
202510,12.1,21.899999999999999,0.29999999999999999
202511,12.4,19.100000000000001,0.29999999999999999
202512,10.9,19.899999999999999,0.29999999999999999
202601,11.4,17.199999999999999,0.40000000000000002
202602,10.199999999999999,20.899999999999999,0.29999999999999999
202603,,,
