WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
2025-06-30 12:00:00 AM,31181,2025-26-RSA Contracted Peak Demand
2025-06-30 12:00:00 AM,29836,2025-26-Residual Peak Demand
2025-06-30 12:00:00 AM,32092,2024-25-RSA Contracted Peak Demand
2025-06-30 12:00:00 AM,31107,2024-25-Residual Peak Demand
2025-06-30 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-06-30 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-07 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-07 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-07-07 12:00:00 AM,31255,2024-25-Residual Peak Demand
2025-07-07 12:00:00 AM,33485,2024-25-RSA Contracted Peak Demand
2025-07-07 12:00:00 AM,31153,2025-26-Residual Peak Demand
2025-07-07 12:00:00 AM,31902,2025-26-RSA Contracted Peak Demand
2025-07-14 12:00:00 AM,31271,2025-26-RSA Contracted Peak Demand
2025-07-14 12:00:00 AM,30763,2025-26-Residual Peak Demand
2025-07-14 12:00:00 AM,32122,2024-25-RSA Contracted Peak Demand
2025-07-14 12:00:00 AM,31317,2024-25-Residual Peak Demand
2025-07-14 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-07-14 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-21 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-21 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-07-21 12:00:00 AM,32044,2024-25-Residual Peak Demand
2025-07-21 12:00:00 AM,32285,2024-25-RSA Contracted Peak Demand
2025-07-21 12:00:00 AM,30414,2025-26-Residual Peak Demand
2025-07-21 12:00:00 AM,31233,2025-26-RSA Contracted Peak Demand
2025-07-28 12:00:00 AM,31275,2025-26-RSA Contracted Peak Demand
2025-07-28 12:00:00 AM,30011,2025-26-Residual Peak Demand
2025-07-28 12:00:00 AM,32341,2024-25-RSA Contracted Peak Demand
2025-07-28 12:00:00 AM,31022,2024-25-Residual Peak Demand
2025-07-28 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-28 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-08-04 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-08-04 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-08-04 12:00:00 AM,30990,2024-25-Residual Peak Demand
2025-08-04 12:00:00 AM,31984,2024-25-RSA Contracted Peak Demand
2025-08-04 12:00:00 AM,30916,2025-26-Residual Peak Demand
2025-08-04 12:00:00 AM,31694,2025-26-RSA Contracted Peak Demand
2025-08-11 12:00:00 AM,30750,2025-26-RSA Contracted Peak Demand
2025-08-11 12:00:00 AM,29688,2025-26-Residual Peak Demand
2025-08-11 12:00:00 AM,30944,2024-25-RSA Contracted Peak Demand
2025-08-11 12:00:00 AM,30155,2024-25-Residual Peak Demand
2025-08-11 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-08-11 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-08-18 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-08-18 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-08-18 12:00:00 AM,29405,2024-25-Residual Peak Demand
2025-08-18 12:00:00 AM,30484,2024-25-RSA Contracted Peak Demand
2025-08-18 12:00:00 AM,28179,2025-26-Residual Peak Demand
2025-08-18 12:00:00 AM,29507,2025-26-RSA Contracted Peak Demand
2025-08-25 12:00:00 AM,29325,2025-26-RSA Contracted Peak Demand
2025-08-25 12:00:00 AM,28155,2025-26-Residual Peak Demand
2025-08-25 12:00:00 AM,29882,2024-25-RSA Contracted Peak Demand
2025-08-25 12:00:00 AM,28227,2024-25-Residual Peak Demand
2025-08-25 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-08-25 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-09-01 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-09-01 12:00:00 AM,27716,2024-25-Residual Peak Demand
2025-09-01 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-09-01 12:00:00 AM,29255,2024-25-RSA Contracted Peak Demand
2025-09-01 12:00:00 AM,27726,2025-26-Residual Peak Demand
2025-09-01 12:00:00 AM,28529,2025-26-RSA Contracted Peak Demand
2025-09-08 12:00:00 AM,28572,2025-26-RSA Contracted Peak Demand
2025-09-08 12:00:00 AM,27502,2025-26-Residual Peak Demand
2025-09-08 12:00:00 AM,31022,2024-25-RSA Contracted Peak Demand
2025-09-08 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-09-08 12:00:00 AM,29000,2024-25-Residual Peak Demand
2025-09-08 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-09-15 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-09-15 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-09-15 12:00:00 AM,28796,2024-25-Residual Peak Demand
2025-09-15 12:00:00 AM,30830,2024-25-RSA Contracted Peak Demand
2025-09-15 12:00:00 AM,27142,2025-26-Residual Peak Demand
2025-09-15 12:00:00 AM,28447,2025-26-RSA Contracted Peak Demand
2025-09-22 12:00:00 AM,28501,2025-26-RSA Contracted Peak Demand
2025-09-22 12:00:00 AM,27158,2025-26-Residual Peak Demand
2025-09-22 12:00:00 AM,30131,2024-25-RSA Contracted Peak Demand
2025-09-22 12:00:00 AM,28546,2024-25-Residual Peak Demand
2025-09-22 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-09-22 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-09-29 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-09-29 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-09-29 12:00:00 AM,29076,2024-25-Residual Peak Demand
2025-09-29 12:00:00 AM,30859,2024-25-RSA Contracted Peak Demand
2025-09-29 12:00:00 AM,25948,2025-26-Residual Peak Demand
2025-09-29 12:00:00 AM,28298,2025-26-RSA Contracted Peak Demand
2025-10-06 12:00:00 AM,27552,2025-26-RSA Contracted Peak Demand
2025-10-06 12:00:00 AM,25729,2025-26-Residual Peak Demand
2025-10-06 12:00:00 AM,29614,2024-25-RSA Contracted Peak Demand
2025-10-06 12:00:00 AM,27629,2024-25-Residual Peak Demand
2025-10-06 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-10-06 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-10-13 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-10-13 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-10-13 12:00:00 AM,28415,2024-25-Residual Peak Demand
2025-10-13 12:00:00 AM,30164,2024-25-RSA Contracted Peak Demand
2025-10-13 12:00:00 AM,25569,2025-26-Residual Peak Demand
2025-10-13 12:00:00 AM,27622,2025-26-RSA Contracted Peak Demand
2025-10-20 12:00:00 AM,29192,2025-26-RSA Contracted Peak Demand
2025-10-20 12:00:00 AM,26822,2025-26-Residual Peak Demand
2025-10-20 12:00:00 AM,29936,2024-25-RSA Contracted Peak Demand
2025-10-20 12:00:00 AM,27264,2024-25-Residual Peak Demand
2025-10-20 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-10-20 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-10-27 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-10-27 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-10-27 12:00:00 AM,27095,2024-25-Residual Peak Demand
2025-10-27 12:00:00 AM,29405,2024-25-RSA Contracted Peak Demand
2025-10-27 12:00:00 AM,25828,2025-26-Residual Peak Demand
2025-10-27 12:00:00 AM,27761,2025-26-RSA Contracted Peak Demand
2025-11-03 12:00:00 AM,28146,2025-26-RSA Contracted Peak Demand
2025-11-03 12:00:00 AM,25417,2025-26-Residual Peak Demand
2025-11-03 12:00:00 AM,29565,2024-25-RSA Contracted Peak Demand
2025-11-03 12:00:00 AM,27136,2024-25-Residual Peak Demand
2025-11-03 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-11-03 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-11-10 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-11-10 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-11-10 12:00:00 AM,27469,2024-25-Residual Peak Demand
2025-11-10 12:00:00 AM,26223,2025-26-Residual Peak Demand
2025-11-10 12:00:00 AM,28047,2025-26-RSA Contracted Peak Demand
2025-11-10 12:00:00 AM,29562,2024-25-RSA Contracted Peak Demand
2025-11-17 12:00:00 AM,29389,2024-25-RSA Contracted Peak Demand
2025-11-17 12:00:00 AM,28563,2025-26-RSA Contracted Peak Demand
2025-11-17 12:00:00 AM,25680,2025-26-Residual Peak Demand
2025-11-17 12:00:00 AM,27465,2024-25-Residual Peak Demand
2025-11-17 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-11-17 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-11-24 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-11-24 12:00:00 AM,27054,2024-25-Residual Peak Demand
2025-11-24 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-11-24 12:00:00 AM,25541,2025-26-Residual Peak Demand
2025-11-24 12:00:00 AM,29363,2024-25-RSA Contracted Peak Demand
2025-11-24 12:00:00 AM,27204,2025-26-RSA Contracted Peak Demand
2025-12-01 12:00:00 AM,26842,2025-26-RSA Contracted Peak Demand
2025-12-01 12:00:00 AM,28684,2024-25-RSA Contracted Peak Demand
2025-12-01 12:00:00 AM,24689,2025-26-Residual Peak Demand
