DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2026-01-23 00:00:00,,,18979.437000000002,20271.16
2026-01-23 01:00:00,,,18843.523000000001,19953.912
2026-01-23 02:00:00,,,19023.985000000001,19888.992999999999
2026-01-23 03:00:00,,,19456.679,20206.378000000001
2026-01-23 04:00:00,,,20987.192999999999,21611.088
2026-01-23 05:00:00,,,23711.560000000001,24209.366000000002
2026-01-23 06:00:00,,,23701.507000000001,24429.045999999998
2026-01-23 07:00:00,,,20819.239000000001,22533.718000000001
2026-01-23 08:00:00,,,19928.269,22468.968000000001
2026-01-23 09:00:00,,,19877.427,22711.774000000001
2026-01-23 10:00:00,,,19598.079000000002,22620.034
2026-01-23 11:00:00,,,19418.084999999999,22616.169000000002
2026-01-23 12:00:00,,,19273.366000000002,22629.897000000001
2026-01-23 13:00:00,,,19039.959999999999,22481.918000000001
2026-01-23 14:00:00,,,19092.984,22621.598000000002
2026-01-23 15:00:00,,,19255.982,22901.348999999998
2026-01-23 16:00:00,,,19451.657999999999,23149.633000000002
2026-01-23 17:00:00,,,20182.758000000002,23754.556
2026-01-23 18:00:00,,,21215.129000000001,24119.300999999999
2026-01-23 19:00:00,,,22665.838,24800.236000000001
2026-01-23 20:00:00,,,22278.883000000002,24195.691999999999
2026-01-23 21:00:00,,,21436.029999999999,23229.215
2026-01-23 22:00:00,,,20282.446,21697.338
2026-01-23 23:00:00,,,19436.296999999999,20617.080000000002
2026-01-24 00:00:00,,,19243.276000000002,20151.296999999999
2026-01-24 01:00:00,,,18953.315999999999,19711.025000000001
2026-01-24 02:00:00,,,18897.323,19552.796999999999
2026-01-24 03:00:00,,,19075.669000000002,19611.957999999999
2026-01-24 04:00:00,,,19200.285,19793.098999999998
2026-01-24 05:00:00,,,19610.080999999998,20347.607
2026-01-24 06:00:00,,,19912.192999999999,21015.957999999999
2026-01-24 07:00:00,,,19657.328000000001,21599.962
2026-01-24 08:00:00,,,19847.096000000001,22294.742999999999
2026-01-24 09:00:00,,,19560.317999999999,22210.121999999999
2026-01-24 10:00:00,,,19170.709999999999,21890.096000000001
2026-01-24 11:00:00,,,18920.376,21690.195
2026-01-24 12:00:00,,,18705.18,21530.605
2026-01-24 13:00:00,,,18356.304,21290.312000000002
2026-01-24 14:00:00,,,18300.450000000001,21374.106
2026-01-24 15:00:00,,,18681.585999999999,21753.762999999999
2026-01-24 16:00:00,,,19330.702000000001,22237.866000000002
2026-01-24 17:00:00,,,20128.273000000001,22862.325000000001
2026-01-24 18:00:00,,,21457.007000000001,23835.513999999999
2026-01-24 19:00:00,,,22804.380000000001,24817.534
2026-01-24 20:00:00,,,22249.206999999999,24359.338
2026-01-24 21:00:00,,,20998.485000000001,22893.456999999999
2026-01-24 22:00:00,,,19958.991000000002,21358.691999999999
2026-01-24 23:00:00,,,19111.841,20311.665000000001
2026-01-25 00:00:00,,,18593.234,19648.755000000001
2026-01-25 01:00:00,,,18372.574000000001,19258.488000000001
2026-01-25 02:00:00,,,18391.798999999999,19124.341
2026-01-25 03:00:00,,,18416.889999999999,19145.947
2026-01-25 04:00:00,,,18522.659,19317.846000000001
2026-01-25 05:00:00,,,18779.444,19739.916000000001
2026-01-25 06:00:00,,,19390.25,20523.821
2026-01-25 07:00:00,,,19557.606,21453.740000000002
2026-01-25 08:00:00,,,19444.360000000001,21985.030999999999
2026-01-25 09:00:00,,,18968.189999999999,21783.008999999998
2026-01-25 10:00:00,,,18263.565999999999,21221.239000000001
2026-01-25 11:00:00,,,17526.949000000001,20699.106
2026-01-25 12:00:00,,,17712.838,20622.273000000001
2026-01-25 13:00:00,,,17832.642,20693.200000000001
2026-01-25 14:00:00,,,17568.098999999998,20597.044999999998
2026-01-25 15:00:00,,,17567.803,20756.939999999999
2026-01-25 16:00:00,,,18113.582999999999,21275.623
2026-01-25 17:00:00,,,19029.639999999999,22359.653999999999
2026-01-25 18:00:00,,,20806.156999999999,23587.455999999998
2026-01-25 19:00:00,,,22696.329000000002,24864.414000000001
2026-01-25 20:00:00,,,22347.473999999998,24308.946
2026-01-25 21:00:00,,,21248.267,23004.757000000001
2026-01-25 22:00:00,,,19969.131000000001,21176.864000000001
2026-01-25 23:00:00,,,19097.393,20034.816999999999
2026-01-26 00:00:00,,,19010.504000000001,19671.258000000002
2026-01-26 01:00:00,,,18857.705000000002,19424.473999999998
2026-01-26 02:00:00,,,18727.634999999998,19250.519
2026-01-26 03:00:00,,,18957.345000000001,19408.971000000001
2026-01-26 04:00:00,,,20466.117999999999,20918.663
2026-01-26 05:00:00,,,22968.172999999999,23371.222000000002
2026-01-26 06:00:00,,,23127.490000000002,23911.324000000001
2026-01-26 07:00:00,,,20394.495999999999,22175.685000000001
2026-01-26 08:00:00,,,19875.649000000001,22380.636999999999
2026-01-26 09:00:00,,,19247.582999999999,22601.784
2026-01-26 10:00:00,,,18721.981,22569.348999999998
2026-01-26 11:00:00,,,18152.861000000001,22534.773000000001
2026-01-26 12:00:00,,,18160.507000000001,22656.627
2026-01-26 13:00:00,,,18272.367999999999,22829.901000000002
2026-01-26 14:00:00,,,18785.323,23079.418000000001
2026-01-26 15:00:00,,,20022.565999999999,23792.560000000001
2026-01-26 16:00:00,,,20687.866000000002,24419.436000000002
2026-01-26 17:00:00,,,21543.168000000001,24928.136999999999
2026-01-26 18:00:00,,,22664.238000000001,25157.810000000001
2026-01-26 19:00:00,,,23987.330999999998,25930.065999999999
2026-01-26 20:00:00,,,23154.187999999998,25064.388999999999
