WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
24-Nov-2025,4220.2809999999999,2024-25-RSA Contracted Energy Demand
06-Oct-2025,4222.9070000000002,2024-25-RSA Contracted Energy Demand
01-Dec-2025,4223.893,2024-25-RSA Contracted Energy Demand
18-Aug-2025,4243.4889999999996,2024-25-RSA Contracted Energy Demand
10-Nov-2025,4245.3969999999999,2024-25-RSA Contracted Energy Demand
29-Sep-2025,4260.4620000000004,2024-25-RSA Contracted Energy Demand
13-Oct-2025,4264.3999999999996,2024-25-RSA Contracted Energy Demand
03-Nov-2025,4272.4579999999996,2024-25-RSA Contracted Energy Demand
08-Sep-2025,4291.9260000000004,2024-25-RSA Contracted Energy Demand
17-Nov-2025,4293.3559999999998,2024-25-RSA Contracted Energy Demand
04-Aug-2025,4295.7489999999998,2024-25-RSA Contracted Energy Demand
11-Aug-2025,4296.9200000000001,2024-25-RSA Contracted Energy Demand
21-Jul-2025,4385.1329999999998,2024-25-RSA Contracted Energy Demand
14-Jul-2025,4403.4499999999998,2024-25-RSA Contracted Energy Demand
15-Sep-2025,4408.9549999999999,2024-25-RSA Contracted Energy Demand
16-Jun-2025,4410.4700000000003,2024-25-RSA Contracted Energy Demand
30-Jun-2025,4414.8609999999999,2024-25-RSA Contracted Energy Demand
23-Jun-2025,4435.9809999999998,2024-25-RSA Contracted Energy Demand
02-Jun-2025,4441.5280000000002,2024-25-RSA Contracted Energy Demand
28-Jul-2025,4455.5659999999998,2024-25-RSA Contracted Energy Demand
07-Jul-2025,4479.4030000000002,2024-25-RSA Contracted Energy Demand
09-Jun-2025,4483.4989999999998,2024-25-RSA Contracted Energy Demand
26-Jan-2026,,2025-26-Residual Energy Demand
02-Feb-2026,,2025-26-Residual Energy Demand
16-Feb-2026,,2025-26-Residual Energy Demand
09-Feb-2026,,2025-26-Residual Energy Demand
23-Feb-2026,,2025-26-Residual Energy Demand
02-Mar-2026,,2025-26-Residual Energy Demand
09-Mar-2026,,2025-26-Residual Energy Demand
16-Mar-2026,,2025-26-Residual Energy Demand
23-Mar-2026,,2025-26-Residual Energy Demand
