Date_Time_Hour_Beginning,Dispatchable IPP OCGT Daily LF,Dispatchable IPP OCGT Hourly LF
2026-02-04 00:00,10.28256360277636,8.1630296387660301E-3
2026-02-04 01:00,10.28256360277636,6.2218213710106924E-3
2026-02-04 02:00,10.28256360277636,7.2007212667163749E-3
2026-02-04 03:00,10.28256360277636,7.6901712145692165E-3
2026-02-04 04:00,10.28256360277636,6.5304237110128229E-3
2026-02-04 05:00,10.28256360277636,2.3723224184335812
2026-02-04 06:00,10.28256360277636,4.1550674139678545
2026-02-04 07:00,10.28256360277636,5.4972902723564978
2026-02-04 08:00,10.28256360277636,6.5623015584639388
2026-02-04 09:00,10.28256360277636,7.4143105873498909
2026-02-04 10:00,10.28256360277636,8.1114903330090744
2026-02-04 11:00,10.28256360277636,8.693278143289044
2026-02-04 12:00,10.28256360277636,9.185115994277302
2026-02-04 13:00,10.28256360277636,9.6062859879036431
2026-02-04 14:00,10.28256360277636,9.9713862583028146
2026-02-04 15:00,10.28256360277636,10.285417344845195
2026-02-04 16:00,10.28256360277636,10.554440117179881
2026-02-04 17:00,10.28256360277636,10.791547304480229
2026-02-04 18:00,10.28256360277636,11.004256459337764
2026-02-04 19:00,10.28256360277636,11.195067539115346
2026-02-04 20:00,10.28256360277636,11.367891012082469
2026-02-04 21:00,10.28256360277636,11.216495944413207
2026-02-04 22:00,10.28256360277636,10.729242045385146
2026-02-04 23:00,10.28256360277636,10.28256360277636
2026-02-05 00:00,8.9316527115361186,9.8715835978851789
2026-02-05 01:00,8.9316527115361186,9.492182980205726
2026-02-05 02:00,8.9316527115361186,9.140760753805278
2026-02-05 03:00,8.9316527115361186,8.8143761191279015
2026-02-05 04:00,8.9316527115361186,8.5106621078652029
2026-02-05 05:00,8.9316527115361186,8.7003959069374819
2026-02-05 06:00,8.9316527115361186,8.7129744227105128
2026-02-05 07:00,8.9316527115361186,8.5985726892902079
2026-02-05 08:00,8.9316527115361186,8.467330249180252
2026-02-05 09:00,8.9316527115361186,8.4971487661791532
2026-02-05 10:00,8.9316527115361186,8.6688729600780938
2026-02-05 11:00,8.9316527115361186,8.8469598964069522
2026-02-05 12:00,8.9316527115361186,9.0155227515124565
2026-02-05 13:00,8.9316527115361186,9.1737442177011914
2026-02-05 14:00,8.9316527115361186,9.3240610709991891
2026-02-05 15:00,8.9316527115361186,9.466416599222125
2026-02-05 16:00,8.9316527115361186,9.6027627460596836
2026-02-05 17:00,8.9316527115361186,9.7294519786553373
2026-02-05 18:00,8.9316527115361186,9.8475631770687304
2026-02-05 19:00,8.9316527115361186,9.9606608940834249
2026-02-05 20:00,8.9316527115361186,10.068893536727716
2026-02-05 21:00,8.9316527115361186,10.024808511815207
2026-02-05 22:00,8.9316527115361186,9.81151471369148
2026-02-05 23:00,8.9316527115361186,9.6071081571562402
2026-02-06 00:00,9.4404857069001142,9.4111706855163177
2026-02-06 01:00,9.4404857069001142,9.2230149652225073
2026-02-06 02:00,9.4404857069001142,9.0422379006264926
2026-02-06 03:00,9.4404857069001142,8.8683869983613448
2026-02-06 04:00,9.4404857069001142,8.7011528560733353
2026-02-06 05:00,9.4404857069001142,8.8030513508025869
2026-02-06 06:00,9.4404857069001142,8.9127722363597091
2026-02-06 07:00,9.4404857069001142,9.008148523906657
2026-02-06 08:00,9.4404857069001142,8.9324082807910354
2026-02-06 09:00,9.4404857069001142,8.9755566007071241
2026-02-06 10:00,9.4404857069001142,8.998363361488364
2026-02-06 11:00,9.4404857069001142,9.0958781014120422
2026-02-06 12:00,9.4404857069001142,9.1919646739588554
2026-02-06 13:00,9.4404857069001142,9.2837651181026946
2026-02-06 14:00,9.4404857069001142,9.3727887350570249
2026-02-06 15:00,9.4404857069001142,9.4582090835605559
2026-02-06 16:00,9.4404857069001142,9.5407239075764352
2026-02-06 17:00,9.4404857069001142,9.6208378315216461
2026-02-06 18:00,9.4404857069001142,9.6982869063622807
2026-02-06 19:00,9.4404857069001142,9.7755720225451892
2026-02-06 20:00,9.4404857069001142,9.8499792988280745
2026-02-06 21:00,9.4404857069001142,9.824183416165333
2026-02-06 22:00,9.4404857069001142,9.6860501885551908
2026-02-06 23:00,9.4404857069001142,9.5515673404042012
2026-02-07 00:00,9.0698683993526643,9.4207948638970276
2026-02-07 01:00,9.0698683993526643,9.2935836838203034
2026-02-07 02:00,9.0698683993526643,9.1697395827630004
2026-02-07 03:00,9.0698683993526643,9.0491100018542348
2026-02-07 04:00,9.0698683993526643,8.931614949659231
2026-02-07 05:00,9.0698683993526643,8.9198341225410651
2026-02-07 06:00,9.0698683993526643,8.8481759780838676
2026-02-07 07:00,9.0698683993526643,8.9229317919144204
2026-02-07 08:00,9.0698683993526643,8.9557050439546959
2026-02-07 09:00,9.0698683993526643,8.9689309313242305
2026-02-07 10:00,9.0698683993526643,9.0098869928935237
2026-02-07 11:00,9.0698683993526643,9.081699933382664
2026-02-07 12:00,9.0698683993526643,9.1518348692887574
2026-02-07 13:00,9.0698683993526643,9.2199718174064103
2026-02-07 14:00,9.0698683993526643,9.2855881002296954
2026-02-07 15:00,9.0698683993526643,9.349973289155237
2026-02-07 16:00,9.0698683993526643,9.4137482801068142
2026-02-07 17:00,9.0698683993526643,9.4758085077130154
2026-02-07 18:00,9.0698683993526643,9.535092489193369
2026-02-07 19:00,9.0698683993526643,9.5924503575480582
2026-02-07 20:00,9.0698683993526643,9.6488219905810055
2026-02-07 21:00,9.0698683993526643,9.631718373020508
2026-02-07 22:00,9.0698683993526643,9.5303821623446368
2026-02-07 23:00,9.0698683993526643,9.4311426051413161
2026-02-08 00:00,10.235364865855873,9.3339594871733151
2026-02-08 01:00,10.235364865855873,9.2388226782128235
2026-02-08 02:00,10.235364865855873,9.1456208970984569
2026-02-08 03:00,10.235364865855873,9.0543030614347639
2026-02-08 04:00,10.235364865855873,8.9647934997446068
2026-02-08 05:00,10.235364865855873,9.01606623601708
2026-02-08 06:00,10.235364865855873,9.0725975841820166
2026-02-08 07:00,10.235364865855873,9.1283863842197146
2026-02-08 08:00,10.235364865855873,9.1830300568724255
2026-02-08 09:00,10.235364865855873,9.236277390265526
2026-02-08 10:00,10.235364865855873,9.2901864279109816
2026-02-08 11:00,10.235364865855873,9.3421634159631761
2026-02-08 12:00,10.235364865855873,9.3926779925643391
2026-02-08 13:00,10.235364865855873,9.4433727828482983
2026-02-08 14:00,10.235364865855873,9.4934249989007018
2026-02-08 15:00,10.235364865855873,9.5422341145523379
2026-02-08 16:00,10.235364865855873,9.5900533739331753
2026-02-08 17:00,10.235364865855873,9.6361822918039319
2026-02-08 18:00,10.235364865855873,9.6811765600551638
2026-02-08 19:00,10.235364865855873,9.7253744686864927
2026-02-08 20:00,10.235364865855873,9.7689597998698101
2026-02-08 21:00,10.235364865855873,9.7543884762858184
2026-02-08 22:00,10.235364865855873,9.6725033165131293
2026-02-08 23:00,10.235364865855873,9.5919870572842285
2026-02-09 00:00,10.264624017823278,9.512738295861352
2026-02-09 01:00,10.264624017823278,9.4347813506726421
2026-02-09 02:00,10.264624017823278,9.3580919980886268
2026-02-09 03:00,10.264624017823278,9.2826500071498792
2026-02-09 04:00,10.264624017823278,9.2084342015014027
2026-02-09 05:00,10.264624017823278,9.2480181069460254
2026-02-09 06:00,10.264624017823278,9.2920172413156585
2026-02-09 07:00,10.264624017823278,9.335305557380627
2026-02-09 08:00,10.264624017823278,9.3775013892314316
2026-02-09 09:00,10.264624017823278,9.4211539016716408
2026-02-09 10:00,10.264624017823278,9.463960623101336
2026-02-09 11:00,10.264624017823278,9.5051881241976339
2026-02-09 12:00,10.264624017823278,9.5455845887509341
2026-02-09 13:00,10.264624017823278,9.5863156659013757
2026-02-09 14:00,10.264624017823278,9.6266741262157041
2026-02-09 15:00,10.264624017823278,9.6666081669062027
2026-02-09 16:00,10.264624017823278,9.705945422815109
2026-02-09 17:00,10.264624017823278,9.744718344530666
2026-02-09 18:00,10.264624017823278,9.7818848936762564
2026-02-09 19:00,10.264624017823278,9.8177795620776394
2026-02-09 20:00,10.264624017823278,9.8533006425247578
2026-02-09 21:00,10.264624017823278,9.8405784988519418
2026-02-09 22:00,10.264624017823278,9.7719073671982972
2026-02-09 23:00,10.264624017823278,9.7040932173740693
2026-02-10 00:00,,9.6371684365645951
2026-02-10 01:00,,9.5711604335744251
2026-02-10 02:00,,9.506050498652149
2026-02-10 03:00,,9.4418204277153119
2026-02-10 04:00,,9.3784525053816523
2026-02-10 05:00,,9.3159294886791066
2026-02-10 06:00,,9.2542345914030868
2026-02-10 07:00,,9.1933514690912244
2026-02-10 08:00,,9.1332642045873609
2026-02-10 09:00,,9.0739572941679629
2026-02-10 10:00,,9.0154156342055884
2026-02-10 11:00,,8.9576245083452957
2026-02-10 12:00,,8.9005695751711222
2026-02-10 13:00,,8.8442368563409239
2026-02-10 14:00,,8.788612725168969
2026-02-10 15:00,,8.7336838956366627
2026-02-10 16:00,,8.6794374118128328
2026-02-10 17:00,,8.6258606376658395
2026-02-10 18:00,,8.5729412472507125
2026-02-10 19:00,,8.5206672152552816
2026-02-10 20:00,,8.4690268078900974
2026-02-10 21:00,,8.4180085741076258
2026-02-10 22:00,,8.3676013371369233
2026-02-10 23:00,,8.3177941863206311
