Week_Start,Eskom OCGT Weekly LF,Eskom OCGT Annual Load Factor
2025-04-01,0.56377111071347286,34.296100000000003
2025-04-07,19.935278584099343,26.563300000000002
2025-04-14,11.413802209321076,21.260999999999999
2025-04-21,22.421265867256434,21.561800000000002
2025-04-28,2.1673457046098554,17.5688
2025-05-05,5.3807939963600351,15.4879
2025-05-12,16.973997569516438,15.704700000000001
2025-05-19,17.410230492777664,15.9217
2025-05-26,11.025631810537471,15.3689
2025-06-02,13.877051512428878,15.217599999999999
2025-06-09,20.920006853733259,15.742800000000001
2025-06-16,6.4179084018706662,14.9564
2025-06-23,10.016440608657589,14.5722
2025-06-30,6.3359653972861514,13.9778
2025-07-07,14.207963001359225,13.9933
2025-07-14,9.9400177390743405,13.7377
2025-07-21,3.3388566360264478,13.120799999999999
2025-07-28,1.0572252171308776,12.4452
2025-08-04,3.680128781072177,11.980399999999999
2025-08-11,0,11.3771
2025-08-18,0,10.8316
2025-08-25,0,10.3361
2025-09-01,0,9.8838000000000008
2025-09-08,0,9.4695999999999998
2025-09-15,0.12279183081069875,9.0935000000000006
2025-09-22,0,8.7418999999999993
2025-09-29,0,8.4163999999999994
2025-10-06,0.53085245467320918,8.1333000000000002
2025-10-13,0.77538357868546537,7.8783000000000003
2025-10-20,0.21390328748819315,7.6215999999999999
2025-10-27,2.3412122468726242E-4,7.3746
2025-11-03,0,7.1430999999999996
2025-11-10,0.23261541917202294,6.9328000000000003
2025-11-17,0,6.7279999999999998
2025-11-24,2.0038740871288043,6.5925000000000002
2025-12-01,0,6.4086999999999996
2025-12-08,0.5532661782661783,6.2497999999999996
2025-12-15,0.16684117769023429,6.0891000000000002
2025-12-22,2.303775888681549E-6,5.9324000000000003
2025-12-29,4.8955237634482921E-6,5.7835999999999999
2026-01-05,0,5.6420000000000003
2026-01-12,0,5.5072000000000001
2026-01-19,0,5.3787000000000003
2026-01-26,8.2118667496025977E-2,5.2579000000000002
2026-02-02,0,5.1406999999999998
2026-02-09,0,5.1243999999999996
2026-02-16,,0
2026-02-23,,0
2026-03-02,,0
2026-03-09,,0
2026-03-16,,0
2026-03-23,,0
