Week_Start,IPP OCGT Weekly LF,IPP OCGT Annual LF
2025-04-01,36.856730628886552,37.340000000000003
2025-04-07,20.438017172606216,28.239999999999998
2025-04-14,17.815028829668513,24.59
2025-04-21,24.276273590243129,24.510000000000002
2025-04-28,10.74375996350623,21.68
2025-05-05,12.112922715876943,20.039999999999999
2025-05-12,16.198920801973575,19.48
2025-05-19,16.037281438081223,19.039999999999999
2025-05-26,14.298775962712487,18.510000000000002
2025-06-02,13.168342126129806,17.969999999999999
2025-06-09,20.856533023839805,18.23
2025-06-16,11.151988477518652,17.640000000000001
2025-06-23,9.7048206766791285,17.02
2025-06-30,10.263782590552147,16.530000000000001
2025-07-07,16.509351764904356,16.530000000000001
2025-07-14,13.912220719030186,16.359999999999999
2025-07-21,9.2000727514610166,15.94
2025-07-28,9.571809394300832,15.58
2025-08-04,20.299697195212403,15.83
2025-08-11,14.822927082291917,15.779999999999999
2025-08-18,11.892231749075108,15.6
2025-08-25,9.6693088905110649,15.32
2025-09-01,10.263739334079762,15.1
2025-09-08,10.277714137433472,14.9
2025-09-15,4.7069287482705136,14.49
2025-09-22,10.587146646172819,14.34
2025-09-29,9.9189935449018023,14.18
2025-10-06,14.018254183943778,14.17
2025-10-13,13.700283558620157,14.15
2025-10-20,10.296671138319311,14.02
2025-10-27,10.286955023555462,13.9
2025-11-03,10.261270159827092,13.789999999999999
2025-11-10,9.8264412855131518,13.67
2025-11-17,10.361972412657364,13.57
2025-11-24,16.977059113560404,13.67
2025-12-01,9.9696285048823405,13.57
2025-12-08,11.444609624913529,13.51
2025-12-15,11.210486042048888,13.449999999999999
2025-12-22,9.4296247770039923,13.34
2025-12-29,10.284703316773571,13.27
2026-01-05,10.280816159802729,13.19
2026-01-12,10.293524081814407,13.119999999999999
2026-01-19,10.299233343615336,13.06
2026-01-26,10.293288837711145,13
2026-02-02,9.7981930313799257,12.92
2026-02-09,1.4663748596890398,12.92
2026-02-16,,0
2026-02-23,,0
2026-03-02,,0
2026-03-09,,0
2026-03-16,,0
2026-03-23,,0
